ID,Track,Title,Authors
75,Track 1. General,Towards Successful Collaboration: Design Guidelines for AI-based Services enriching Information Systems in Organisations,"Nicholas Frick, Felix Brünker, Björn Ross and Stefan Stieglitz"
135,Track 1. General,Information Technology Capability and Firm Performance: The Role of Strategic Orientation,Siddharth Majhi and Arindam Mukherjee
176,Track 1. General,Using Adaptive Enterprise Architecture Framework for Defining the Adaptable Identity Ecosystem Architecture,"Memoona Anwar, Asif Gill and Ghassan Beydoun"
110,Track 1. General,Understanding customers’ purchase behaviour from online group buying websites: a transaction cost approach,Mohammad Hossain
146,Track 1. General,What Makes a Review Credible? Heuristic and Systematic Factors for the Credibility of Online Reviews,"Ehsan Abedin, Antonette Mendoza and Shanika Karunasekera"
151,Track 1. General,Understanding the Mobile Gaming Context and Player Behaviour: A Review and a Research Agenda,Siqi Gao and Petri Hallikainen
150,Track 1. General,Technology Introduction as Social Interpretation by End-Users: Key Articulations in the Literature,"Ali Eshraghi, Robert B. Johnston and Kai Riemer"
77,Track 1. General,Gendered objectification of weight stigma in social media: a mixed method analysis,"Vajisha Udayangi Wanniarachchi, Anuradha Mathrani, Teo Susnjak and Chris Scogings"
134,Track 1. General,Government Services Architecture,"Anthony Kalkipsakis, Mary Tate, Mohammad Jabbari Sabegh and Kevin Desouza"
116,Track 1. General,"Healthcare 4.0: Trends, Challenges and Benefits","Mati Ur Rehman, Amirhossein Eslami Andargoli and Hamid Pousti"
191,Track 1. General,Literature Review challenges for emerging technologies,Karina Honey and D. Alastair Robb
91,Track 1. General,An Exploration of Project Approaches for International Development Projects,Zareen Tasnim Lazima and Sharon Coyle
127,Track 1. General,Complementarities in Platform Ecosystems: A Study of Coevolution of Made-in-Korea Digital Entertainment Phenomenon,"Bk Lee, Felix Tan and Seongmin Jeon"
56,Track 2. Making the World a Better Place with Information Systems,Agri-informatics: A multi-disciplinary literature,Darshana Sedera and Sachithra Lokuge
72,Track 2. Making the World a Better Place with Information Systems,Recommendations for enhancing consumer safe food management behaviour with smartphone technology,"Adeola Bamgboje-Ayodele, Leonie Ellis and Paul Turner"
174,Track 2. Making the World a Better Place with Information Systems,Achieving Agriculture Biotic Sustainability through Mobile-based Information System: Adapting the characteristics of Geographical Information Systems (GIS),"Janagan Sivagnanasundaram, Athula Ginige and J.S. Goonethillake"
177,Track 2. Making the World a Better Place with Information Systems,Influencing Human Behaviour to Optimise Energy in Commercial Buildings,"Altaf Mazhar Soomro, Suresh Paryani, Junaid Rehman, Ricardo Aguilera Echeverria, Nimish Biloria and Mukesh Prasad"
67,Track 2. Making the World a Better Place with Information Systems,IT Service Management and Incident Management: Literature Review and a Case Study,"Eghbal Ghazizadeh, Moonjee Jeong, Juan Pablo Angel and Yehan Que"
10,Track 2. Making the World a Better Place with Information Systems,Burst the Filter Bubble: Towards an Integrated Tool,Alireza Amrollahi
165,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",A Literature Review on the Relationship between Disruption and Business Model Innovation: What Choices do Incumbents have?,Ronald Addo-Quaye and Erwin Fielt
121,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Conceptual Model for the Use of Smart Glasses in Ubiquitous Teaching (u-teaching),"Arzoo Atiq, Siddhartha Saha and Farhaan Mirza"
138,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Rethinking Intellectual Capital in Professional Service Firms: A Triple Bottom-line Perspective on Value-creation,"Junaid Rehman, Igor Hawryszkiewycz, Osama Sohaib and Fatuma Namisango"
57,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Attaining business alignment in information technology innovations led by line-of-business managers,Sachithra Lokuge and Darshana Sedera
147,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Network Ties and Their Effect on Employee Collaboration in Enterprise Social Networks: A Review and Research Agenda,"Shilpa Kochar, Jason Watson and Chun Ouyang"
156,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Barriers to Adoption of Financial Technology: A Study of the Australian Financial Sector,"Nicholas Brookes, Axel Korthaus and Hamid Pousti"
186,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",How Government Regulation Affects Technology Continuance (Case Study of Online Transportation),"Rino Nugroho, Okki Ambarwati, Septyanto G. Prakoso and Didik Suharto"
23,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Is checkout- free store a flash in the pan? Factors influencing Hong Kong people’s adoption intention of checkout-free stores,Cong Qi
153,"Track 3. Digital Disruption and Innovation for People, Society and Organisations",Conceptualising Resource Integration Process Effectiveness to Assist Australian SMEs to Co-create Value with Cloud Technologies,"Shan Jayasinghe, Lester Johnson, Chandana Hewege and Chamila Perera"
15,"Track 5. Industry 4.0 Design, Challenges and Impacts",Decision Support Systems in the Context of CyberPhysical Systems: Influencing Factors and Challenges for the Adoption in Production Scheduling,Pascal Freier and Matthias Schumann
109,"Track 5. Industry 4.0 Design, Challenges and Impacts",On Logistics Management for Prosumer Business Information System Development and Implementation,"Shastri Nimmagadda, Sreenithya Sumesh, Aneesh Krishna and Torsten Reiners"
81,"Track 5. Industry 4.0 Design, Challenges and Impacts",Towards Trusted Seamless Reconfiguration of IoT Nodes,Tony Toms and Kevin Lee
178,Track 6. Resilience and Sustainability,Developing the concept of Individual IT Culture and its Impact on IT Risk Management Implementation,Bruce Rowlands and Neda Azizi
92,Track 6. Resilience and Sustainability,Information Systems for Disaster Management: The Impact of National Context,"Haibin Wu, Deborah Bunker and Stephen Smith"
154,Track 6. Resilience and Sustainability,Business Process Management and Environmental Sustainability - Insights from the Hospitality Industry,Shahrzad Roohy Gohar and Marta Indulska
192,Track 7. Agile IS Development and Project Management,Coordination in Distributed Agile Software Development: insights from a COTS-based Case Study,"Jim Buchan, A B M Nurul Afser Talukder and Mali Senapathi"
97,Track 7. Agile IS Development and Project Management,Agility practices for software development: an investigation of agile organization concepts,"Kevin Kusuma, Shahper Richter and Ramesh Lal"
119,Track 7. Agile IS Development and Project Management,Conceptualizing Control Configurations: A Control Theory Perspective on Outsourced Information Systems Development,"Subasinghage Maduka Nuwangi, Darshana Sedera and Shirish C. Srivastava"
21,Track 7. Agile IS Development and Project Management,Agile Development as Service Ecosystems,Gro Bjerknes and Karlheinz Kautz
63,Track 7. Agile IS Development and Project Management,The Coevolution of Organizational Routines and IT Systems in IT-enabled Organizational Transformation,"Faqir Taj, Karlheinz Kautz and Vince Bruno"
19,Track 7. Agile IS Development and Project Management,Business Processes and Flexibility: A Theoretical Perspective,"Pedro Antunes, Mary Tate and Jose Pino"
48,Track 7. Agile IS Development and Project Management,Compliance Centric Data Quality Management - The Banking and Financial Industry Perspective,"Faisal Khan, Marta Indulska and Shazia Sadiq"
175,Track 7. Agile IS Development and Project Management,What do Employers expect from Business Analysts and is it captured by the “Business Analysis Body of Knowledge” (BABOK)?,"Paul Meredith, Peter Summons, Mira Park and Bruce Cheek"
